target_chembl_ID,organism,tax_id,pref_name,component_synonym
CHEMBL1869,Homo sapiens,9606,Ornithine decarboxylase,ODC1
CHEMBL2061,Homo sapiens,9606,Retinoid X receptor alpha,RXRA
CHEMBL255,Homo sapiens,9606,Adenosine A2b receptor,ADORA2B
CHEMBL1805,Homo sapiens,9606,Serotonin 1f (5-HT1f) receptor,HTR1F
CHEMBL256,Homo sapiens,9606,Adenosine A3 receptor,ADORA3
CHEMBL1878,Homo sapiens,9606,Calcium sensing receptor,CASR
CHEMBL1911,Homo sapiens,9606,Succinate semialdehyde dehydrogenase,ALDH5A1
CHEMBL1886,Homo sapiens,9606,"Potassium channel, inwardly rectifying, subfamily J, member 11",KCNJ11
CHEMBL2063,Homo sapiens,9606,Ceramide glucosyltransferase,UGCG
CHEMBL1993,Homo sapiens,9606,DNA (cytosine-5)-methyltransferase 1,DNMT1
CHEMBL1992,Homo sapiens,9606,DNA (cytosine-5)-methyltransferase 3A,DNMT3A
CHEMBL2013,Plasmodium falciparum,5833,Dihydropteroate synthetase,PPPK-DHPS
CHEMBL2030,Mycobacterium tuberculosis,1773,D-alanylalanine synthetase,ddl
CHEMBL2031,Mycobacterium tuberculosis,1773,Alanine racemase,alr
CHEMBL2027,Homo sapiens,9606,Niemann-Pick C1-like protein 1,NPC1L1
CHEMBL5113,Homo sapiens,9606,Orexin receptor 1,HCRTR1
CHEMBL4714,Homo sapiens,9606,Pyrimidinergic receptor P2Y6,P2RY6
CHEMBL3157,Homo sapiens,9606,Bradykinin B2 receptor,BDKRB2
CHEMBL2157,Homo sapiens,9606,Interleukin-8,CXCL8
CHEMBL3629,Homo sapiens,9606,Casein kinase II alpha,CSNK2A1
CHEMBL3142,Homo sapiens,9606,DNA-dependent protein kinase,PRKDC
CHEMBL1796,Homo sapiens,9606,Gastric lipase,LIPF
CHEMBL4068,Homo sapiens,9606,Chymase,CMA1
CHEMBL2940,Homo sapiens,9606,Immunoglobulin epsilon Fc receptor,FCER2
CHEMBL2120,Homo sapiens,9606,Acidic fibroblast growth factor,FGF1
CHEMBL4550,Homo sapiens,9606,5-lipoxygenase activating protein,ALOX5AP
CHEMBL2121,Homo sapiens,9606,Folate receptor alpha,FOLR1
CHEMBL3961,Homo sapiens,9606,MAP kinase p38 beta,MAPK11
CHEMBL3514,Homo sapiens,9606,LDL-associated phospholipase A2,PLA2G7
CHEMBL258,Homo sapiens,9606,Tyrosine-protein kinase LCK,LCK
CHEMBL259,Homo sapiens,9606,Melanocortin receptor 4,MC4R
CHEMBL4877,Homo sapiens,9606,Neuropeptide Y receptor type 4,NPY4R
CHEMBL4116,Homo sapiens,9606,Alcohol dehydrogenase class III,ADH5
CHEMBL2888,Homo sapiens,9606,Metabotropic glutamate receptor 3,GRM3
CHEMBL1853,Homo sapiens,9606,Somatostatin receptor 4,SSTR4
CHEMBL2327,Homo sapiens,9606,Neurokinin 2 receptor,TACR2
CHEMBL260,Homo sapiens,9606,MAP kinase p38 alpha,MAPK14
CHEMBL2084,Homo sapiens,9606,Asialoglycoprotein receptor 1,ASGR1
CHEMBL261,Homo sapiens,9606,Carbonic anhydrase I,CA1
CHEMBL262,Homo sapiens,9606,Glycogen synthase kinase-3 beta,GSK3B
CHEMBL4306,Homo sapiens,9606,Voltage-gated potassium channel subunit Kv1.5,KCNA5
CHEMBL2085,Homo sapiens,9606,Macrophage migration inhibitory factor,MIF
CHEMBL3155,Homo sapiens,9606,Serotonin 7 (5-HT7) receptor,HTR7
CHEMBL3143,Homo sapiens,9606,Coagulation factor VIII,F8
CHEMBL2064,Homo sapiens,9606,GABA-B receptor 1,GABBR1
CHEMBL3776,Homo sapiens,9606,Caspase-8,CASP8
CHEMBL4794,Homo sapiens,9606,Vanilloid receptor,TRPV1
CHEMBL4142,Homo sapiens,9606,Fibroblast growth factor receptor 2,FGFR2
CHEMBL3650,Homo sapiens,9606,Fibroblast growth factor receptor 1,FGFR1
CHEMBL264,Homo sapiens,9606,Histamine H3 receptor,HRH3
CHEMBL3710,Homo sapiens,9606,Prostanoid EP3 receptor,PTGER3
CHEMBL3994,Staphylococcus aureus,1280,Enoyl-[acyl-carrier-protein] reductase (FabI),fabI
CHEMBL4467,Homo sapiens,9606,Mucosal addressin cell adhesion molecule-1,MADCAM1
CHEMBL2099,Homo sapiens,9606,Prostate specific antigen,KLK3
CHEMBL2476,Homo sapiens,9606,Voltage-gated potassium channel subunit Kv7.2,KCNQ2
CHEMBL4805,Homo sapiens,9606,P2X purinoceptor 7,P2RX7
CHEMBL267,Homo sapiens,9606,Tyrosine-protein kinase SRC,SRC
CHEMBL1901,Homo sapiens,9606,Cholecystokinin A receptor,CCKAR
CHEMBL2107,Homo sapiens,9606,C-X-C chemokine receptor type 4,CXCR4
CHEMBL2754,Homo sapiens,9606,T-cell surface antigen CD4,CD4
CHEMBL4018,Homo sapiens,9606,Neuropeptide Y receptor type 2,NPY2R
CHEMBL2508,Homo sapiens,9606,Cyclin-dependent kinase 6,CDK6
CHEMBL268,Homo sapiens,9606,Cathepsin K,CTSK
CHEMBL4478,Homo sapiens,9606,Voltage-gated N-type calcium channel alpha-1B subunit,CACNA1B
CHEMBL3572,Homo sapiens,9606,Cholesteryl ester transfer protein,CETP
CHEMBL3610,Homo sapiens,9606,G1/S-specific cyclin D1,CCND1
CHEMBL2527,Homo sapiens,9606,Serine/threonine-protein kinase Chk2,CHEK2
CHEMBL1914,Homo sapiens,9606,Butyrylcholinesterase,BCHE
CHEMBL2123,Homo sapiens,9606,Pyrimidinergic receptor P2Y4,P2RY4
CHEMBL3911,Homo sapiens,9606,Leukotriene B4 receptor 1,LTB4R
CHEMBL4315,Homo sapiens,9606,Purinergic receptor P2Y1,P2RY1
CHEMBL2413,Homo sapiens,9606,C-C chemokine receptor type 1,CCR1
CHEMBL2435,Homo sapiens,9606,"Serine/threonine protein phosphatase 2A, catalytic subunit, beta isoform",PPP2CB
CHEMBL2439,Homo sapiens,9606,Myeloperoxidase,MPO
CHEMBL2414,Homo sapiens,9606,C-C chemokine receptor type 4,CCR4
CHEMBL274,Homo sapiens,9606,C-C chemokine receptor type 5,CCR5
CHEMBL3816,Homo sapiens,9606,Cytosolic phospholipase A2,PLA2G4A
CHEMBL3474,Homo sapiens,9606,Phospholipase A2 group IIA,PLA2G2A
CHEMBL3475,Homo sapiens,9606,Plasminogen activator inhibitor-1,SERPINE1
CHEMBL2534,Homo sapiens,9606,3-phosphoinositide dependent protein kinase-1,PDPK1
CHEMBL3371,Homo sapiens,9606,Serotonin 6 (5-HT6) receptor,HTR6
CHEMBL2492,Homo sapiens,9606,Neuronal acetylcholine receptor protein alpha-7 subunit,CHRNA7
CHEMBL3974,Homo sapiens,9606,Proteinase-activated receptor 1,F2R
CHEMBL2487,Homo sapiens,9606,Beta amyloid A4 protein,APP
CHEMBL2118,Homo sapiens,9606,Diamine oxidase,AOC1
CHEMBL3913,Homo sapiens,9606,Complement C1s,C1S
CHEMBL4607,Homo sapiens,9606,Angiotensin II type 2 (AT-2) receptor,AGTR2
CHEMBL2524,Homo sapiens,9606,Alpha-galactosidase A,GLA
CHEMBL3201,Homo sapiens,9606,Aryl hydrocarbon receptor,AHR
CHEMBL2431,Homo sapiens,9606,Serine/threonine-protein kinase AKT2,AKT2
CHEMBL4816,Homo sapiens,9606,Serine/threonine-protein kinase AKT3,AKT3
CHEMBL3922,Homo sapiens,9606,Methionine aminopeptidase 2,METAP2
CHEMBL2045,Homo sapiens,9606,Pancreatic alpha-amylase,AMY2A
CHEMBL1795,Homo sapiens,9606,Atrial natriuretic peptide receptor B,NPR2
CHEMBL2179,Homo sapiens,9606,Beta-glucocerebrosidase,GBA1
CHEMBL3377,Influenza B virus (strain B/Lee/1940),107412,Neuraminidase,NA
CHEMBL3076,Homo sapiens,9606,Phenylalanine-4-hydroxylase,PAH
CHEMBL1991,Homo sapiens,9606,Inhibitor of nuclear factor kappa B kinase beta subunit,IKBKB
CHEMBL3238,Homo sapiens,9606,Carnitine palmitoyltransferase 2,CPT2
CHEMBL3276,Homo sapiens,9606,Interleukin-2 receptor beta chain,IL2RB
CHEMBL2434,Homo sapiens,9606,Interleukin-8 receptor B,CXCR2
CHEMBL2185,Homo sapiens,9606,Serine/threonine-protein kinase Aurora-B,AURKB
CHEMBL2555,Escherichia coli K-12,83333,Thymidylate synthase,thyA
CHEMBL3378,Homo sapiens,9606,Tumor necrosis factor receptor R1,TNFRSF1A
CHEMBL3819,Homo sapiens,9606,Lysophosphatidic acid receptor Edg-2,LPAR1
CHEMBL2633,Homo sapiens,9606,Prostatic acid phosphatase,ACP3
CHEMBL2148,Homo sapiens,9606,Tyrosine-protein kinase JAK3,JAK3
CHEMBL3028,Homo sapiens,9606,Hypoxia-inducible factor prolyl hydroxylase 1,EGLN2
CHEMBL3192,Homo sapiens,9606,Histone deacetylase 8,HDAC8
CHEMBL3582,Homo sapiens,9606,Protein kinase C epsilon,PRKCE
CHEMBL4770,Homo sapiens,9606,"Potassium channel, inwardly rectifying, subfamily J, member 8",KCNJ8
CHEMBL278,Homo sapiens,9606,Integrin alpha-4,ITGA4
CHEMBL3023,Homo sapiens,9606,Sphingosine kinase 2,SPHK2
CHEMBL1906,Homo sapiens,9606,Serine/threonine-protein kinase RAF,RAF1
CHEMBL2599,Homo sapiens,9606,Tyrosine-protein kinase SYK,SYK
CHEMBL3024,Homo sapiens,9606,Serine/threonine-protein kinase PLK1,PLK1
CHEMBL2979,Homo sapiens,9606,Integrin beta-7,ITGB7
CHEMBL2959,Homo sapiens,9606,Tyrosine-protein kinase ITK/TSK,ITK
CHEMBL2835,Homo sapiens,9606,Tyrosine-protein kinase JAK1,JAK1
CHEMBL3764,Homo sapiens,9606,Urotensin II receptor,UTS2R
CHEMBL2971,Homo sapiens,9606,Tyrosine-protein kinase JAK2,JAK2
CHEMBL4937,Homo sapiens,9606,Casein kinase I epsilon,CSNK1E
CHEMBL2608,Homo sapiens,9606,Lysosomal alpha-glucosidase,GAA
CHEMBL1868,Homo sapiens,9606,Vascular endothelial growth factor receptor 1,FLT1
CHEMBL279,Homo sapiens,9606,Vascular endothelial growth factor receptor 2,KDR
CHEMBL4429,Homo sapiens,9606,Neurokinin 3 receptor,TACR3
CHEMBL4305,Homo sapiens,9606,Intermediate conductance calcium-activated potassium channel protein 4,KCNN4
CHEMBL4644,Homo sapiens,9606,Melanocortin receptor 3,MC3R
CHEMBL2850,Homo sapiens,9606,Glycogen synthase kinase-3 alpha,GSK3A
CHEMBL280,Homo sapiens,9606,Matrix metalloproteinase 13,MMP13
CHEMBL2964,Homo sapiens,9606,Dual specificity mitogen-activated protein kinase kinase 2,MAP2K2
CHEMBL2736,Homo sapiens,9606,Metabotropic glutamate receptor 4,GRM4
CHEMBL2326,Homo sapiens,9606,Carbonic anhydrase VII,CA7
CHEMBL2203,Homo sapiens,9606,Motilin receptor,MLNR
CHEMBL2208,Homo sapiens,9606,MAP kinase-activated protein kinase 2,MAPKAPK2
CHEMBL3070,Homo sapiens,9606,Intercellular adhesion molecule-1,ICAM1
CHEMBL4081,Homo sapiens,9606,Coagulation factor III,F3
CHEMBL3094,Homo sapiens,9606,MAP kinase-activated protein kinase 5,MAPKAPK5
CHEMBL283,Homo sapiens,9606,Matrix metalloproteinase 3,MMP3
CHEMBL4588,Homo sapiens,9606,Matrix metalloproteinase 8,MMP8
CHEMBL2009,Homo sapiens,9606,"Glutamate receptor ionotropic, AMPA 1",GRIA1
CHEMBL3338,Homo sapiens,9606,Squalene synthetase,FDFT1
CHEMBL3576,Homo sapiens,9606,Voltage-gated potassium channel subunit Kv7.4,KCNQ4
CHEMBL3687,Homo sapiens,9606,Arachidonate 12-lipoxygenase,ALOX12
CHEMBL284,Homo sapiens,9606,Dipeptidyl peptidase IV,DPP4
CHEMBL4929,Homo sapiens,9606,Serum amyloid P-component,APCS
CHEMBL2973,Homo sapiens,9606,Rho-associated protein kinase 2,ROCK2
CHEMBL1964,Homo sapiens,9606,Voltage-gated potassium channel subunit Kv4.3,KCND3
CHEMBL3869,Homo sapiens,9606,Matrix metalloproteinase 14,MMP14
CHEMBL4308,Homo sapiens,9606,Bradykinin B1 receptor,BDKRB1
CHEMBL3172,Homo sapiens,9606,Dihydropyrimidine dehydrogenase,DPYD
CHEMBL3130,Homo sapiens,9606,PI3-kinase p110-delta subunit,PIK3CD
CHEMBL2047,Homo sapiens,9606,Bile acid receptor FXR,NR1H4
CHEMBL2048,Homo sapiens,9606,Fibrinogen beta chain,FGB
CHEMBL3102,Homo sapiens,9606,Dopamine beta-hydroxylase,DBH
CHEMBL4791,Homo sapiens,9606,Endothelin-converting enzyme 1,ECE1
CHEMBL4465,Homo sapiens,9606,Acyl coenzyme A:cholesterol acyltransferase 2,SOAT2
CHEMBL1937,Homo sapiens,9606,Histone deacetylase 2,HDAC2
CHEMBL1829,Homo sapiens,9606,Histone deacetylase 3,HDAC3
CHEMBL4016,Homo sapiens,9606,"Glutamate receptor ionotropic, AMPA 2",GRIA2
CHEMBL286,Homo sapiens,9606,Renin,REN
CHEMBL2695,Homo sapiens,9606,Focal adhesion kinase 1,PTK2
CHEMBL4245,Homo sapiens,9606,Estrogen-related receptor gamma,ESRRG
CHEMBL2028,Homo sapiens,9606,Somatostatin receptor 3,SSTR3
CHEMBL1792,Homo sapiens,9606,Somatostatin receptor 5,SSTR5
