Drug,Targets
saxagliptin,"['HNMT', 'PROCR', 'CTBP1', 'ACAD8', 'DCPS', 'GMDS', 'AKR1B1', 'LSS', 'CRYZ', 'UXS1', 'TCN2', 'HTATIP2', 'FNTB', 'TP53I3', 'HAO1', 'GIF', 'MAVS', 'TLR1', 'NME2', 'FOLH1', 'EP300', 'PREP', 'KYAT1', 'THRB', 'CD1D', 'NMT1', 'PANK3', 'CYCS', 'ACE', 'NCOA2', 'AGER', 'GSTK1', 'FASN', 'PCNA', 'MED1', 'DPP4', 'FKBP5', 'FKBP4', 'TMEM173', 'CD1D', 'HIST1H3H', 'RNASEL']"
mycophenolic acid,"['RAN', 'IMPDH2', 'AKT2', 'DCXR', 'GMDS', 'RABEP1', 'ARL1', 'RAB18', 'RAB2A', 'TRMT61B', 'GMPR2', 'CDK2', 'XDH', 'RAB30', 'WASL', 'AKR1C4', 'HK2', 'HSD17B10', 'PFN1', 'GPD1L', 'RTN4IP1', 'NEK2', 'MAP2K4', 'HSPA1A', 'NME2', 'ACSM2A', 'METTL1', 'UMPS', 'CRYL1', 'THRB', 'HK3', 'PLCB3', 'RAB8A', 'RNLS', 'RAB11FIP2', 'TMSB4X', 'PCNA', 'ARL1', 'GSK3B', 'ACTR8', 'JAK2', 'SIRT1']"
bromocriptine,"['HSD17B1', 'NQO1', 'ACADM', 'FABP3', 'PROCR', 'CTBP1', 'NMNAT3', 'CYP2C9', 'UXS1', 'HTATIP2', 'AKR7A2', 'GRHPR', 'CRYM', 'CYP2C8', 'CETP', 'ACADS', 'RAC1', 'MUT', 'PTGR1', 'TLR1', 'NME2', 'SYTL2', 'EP300', 'CYP2R1', 'CYP2E1', 'THRB', 'THRA', 'CYP46A1', 'CYP11A1', 'CYP11A1', 'CYP3A4', 'CYP19A1', 'MMACHC', 'CYP2D6', 'NCOA2', 'CYP7A1', 'PCNA', 'DDR1', 'FKBP5', 'TSTA3', 'CD1D', 'CARM1']"
nelfinavir,"['HSD17B1', 'MAPK12', 'GALE', 'GGA1', 'DCXR', 'PGA4', 'GOLGA4', 'GMDS', 'CBR1', 'SPR', 'DLD', 'UXS1', 'MDH2', 'PHGDH', 'GRHPR', 'METTL16', 'CBR3', 'CRYM', 'HSD17B10', 'CTBP2', 'TK1', 'SRC', 'MUT', 'STK25', 'MAPK1', 'RPS6KB1', 'NME2', 'TPX2', 'STK26', 'ACSS1', 'EGFR', 'THRB', 'REN', 'ERBB3', 'HSDL2', 'EGFR', 'TXN', 'MAPK1', 'PCNA', 'GSK3B', 'DECR2', 'STK32A', 'MAP2K2']"
cisplatin,"['HSD17B1', 'ACADM', 'RAB11A', 'GCDH', 'GMDS', 'SNUPN', 'ZADH2', 'RAB11FIP3', 'RAB26', 'GRHPR', 'RAB6A', 'CLCN5', 'RAB9B', 'GAD2', 'WASL', 'KMT2A', 'NMRAL1', 'MUT', 'ACOT12', 'SYTL2', 'AKR1D1', 'REM2', 'CYP2R1', 'LCN2', 'AMD1', 'ACSS1', 'CAB39', 'THRB', 'GAPDHS', 'GUSB', 'HSDL2', 'CD40LG', 'HIST1H3H', 'CYP2D6', 'RAB11FIP2', 'FABP1', 'PCNA', 'DHODH', 'ADAM8', 'HIST1H3H', 'THEM4', 'SIRT1']"
fluvastatin,"['DHPS', 'GALE', 'AKR1C2', 'AHCY', 'KIT', 'HSD11B1', 'CRYZ', 'RBSN', 'HSD17B4', 'DLD', 'BDH2', 'GMPR2', 'RAB30', 'PHGDH', 'CRYM', 'RGS10', 'RGS16', 'ALDH7A1', 'RAB9B', 'HMGCR', 'ARHGEF25', 'NMRAL1', 'KDM1A', 'MUT', 'RGS14', 'RUVBL1', 'NME2', 'AKR1D1', 'GSR', 'THRB', 'SRXN1', 'HSPA2', 'AHCYL1', 'DHRS4', 'RRAD', 'DLD', 'GNAI1', 'PCNA', 'TSTA3', 'RGS2', 'DECR2', 'RNASEL']"
pentostatin,"['GALE', 'LDHB', 'PAH', 'NMNAT1', 'PNLIP', 'CTBP1', 'SEC14L2', 'MME', 'WARS', 'GMDS', 'CDK2', 'PDE5A', 'HIBADH', 'ALDH7A1', 'UGDH', 'MAVS', 'MUT', 'RUVBL1', 'SNAI1', 'MAPK1', 'RRP8', 'NME2', 'GSR', 'THRB', 'CD1D', 'ADA', 'PDE6C', 'PNMT', 'MPZ', 'PXN', 'RELA', 'RELA', 'GSTK1', 'GLTP', 'LTA4H', 'PCNA', 'ASMT', 'LDHA', 'GDA', 'EYA2', 'HIST1H4I', 'SIRT3']"
prazosin,"['NQO1', 'BPI', 'HADH', 'NMNAT1', 'PROCR', 'AKR1C3', 'LSS', 'HSD17B4', 'GALK2', 'UXS1', 'XDH', 'AKR1C4', 'TP53I3', 'CYP2C8', 'HSD17B10', 'NAA50', 'GPD1L', 'MUT', 'PTGR1', 'PTGR2', 'NME2', 'THRB', 'EPHX2', 'SIRT6', 'GIF', 'RORC', 'CYP46A1', 'HSP90AB1', 'CYCS', 'DHRS4', 'CD1C', 'EPHX2', 'PANK1', 'MMACHC', 'CYP17A1', 'CD1B', 'CYP2D6', 'PCNA', 'F2R', 'FKBP4', 'CD1D', 'NQO2']"
tazobactam,"['FKBP1A', 'PKN1', 'ETFA', 'RAN', 'CTBP1', 'SOS1', 'AKT2', 'ROCK1', 'RAB7A', 'RNASEL', 'RILP', 'G6PD', 'PLCE1', 'DIRAS2', 'DIRAS1', 'TEK', 'PAK4', 'HMGCS1', 'SGK1', 'HRAS', 'DMPK', 'DYRK1A', 'RAC2', 'RAC1', 'IPO13', 'RPS6KB1', 'NME2', 'TPX2', 'THRB', 'UBA5', 'XIAP', 'CALM1', 'RAP1A', 'RAB1B', 'PCNA', 'BCL2L1', 'GSK3B', 'FKBP4', 'RNASEL', 'PTPN9', 'MMP9', 'CASP6']"
clonidine,"['METAP2', 'FABP7', 'MMP3', 'PCTP', 'PROCR', 'CTBP1', 'PGA4', 'AKR1C3', 'AKR1B1', 'PITPNA', 'METAP2', 'AKR1B10', 'AKR7A2', 'AKR7A3', 'AKR1C4', 'TP53I3', 'IRAK4', 'KDM1A', 'AOC3', 'H3F3A', 'NME2', 'TAT', 'AMD1', 'RBP4', 'KYAT1', 'ACSS1', 'THRB', 'AOC1', 'EGLN1', 'THAP4', 'HIST1H3H', 'GIF', 'KDM7A', 'PHF2', 'RELA', 'PCNA', 'SNRPD3', 'DPP4', 'NEK1', 'FKBP5', 'FKBP4', 'MMP9']"
atazanavir,"['MAPK12', 'GALE', 'BPI', 'RAC1', 'PGA4', 'GOLGA4', 'TK1', 'CBR1', 'DHRS11', 'SPR', 'UXS1', 'MDH2', 'PHGDH', 'GRHPR', 'CBR3', 'CRYM', 'HSD17B10', 'CTBP2', 'TK1', 'HSD17B8', 'GPD1L', 'SRC', 'MUT', 'RPS6KB1', 'NME2', 'SYTL2', 'SMS', 'ARL2', 'TPX2', 'ACSS1', 'THRB', 'ERBB3', 'EGFR', 'DHRS4', 'REN', 'TXN', 'PARP15', 'PCNA', 'GSK3B', 'DECR2', 'STK32A', 'MAP2K2']"
acetylcysteine,"['AIFM1', 'NMNAT3', 'DUT', 'MAP2K2', 'DHRS11', 'SNUPN', 'KCNAB2', 'TCN2', 'GMPR2', 'PHGDH', 'CBR3', 'CSF1R', 'CRYM', 'KDM1A', 'TEK', 'PFN1', 'RTN4IP1', 'RAC2', 'NMRAL1', 'KDM1A', 'MAOB', 'MUT', 'SNAI1', 'NME2', 'EP300', 'PLK4', 'GSR', 'MAPK11', 'EGFR', 'THRB', 'PANK3', 'DHRS4', 'SIRT6', 'ACVR1', 'ACVR2A', 'PCNA', 'TSTA3', 'CD1D', 'LY96', 'CASP6', 'PTK2', 'SIRT1']"
alendronic acid,"['HMOX1', 'AKT2', 'AKT2', 'CDK2', 'MME', 'GMDS', 'RABEP1', 'CBR1', 'DHRS11', 'GNAI1', 'SPR', 'TOP2A', 'GSTP1', 'AK4', 'HTATIP2', 'DBI', 'WASL', 'RGS1', 'CBR3', 'CRYM', 'RGS10', 'RGS16', 'DGUOK', 'RGS8', 'GGPS1', 'FDPS', 'NMRAL1', 'MUT', 'MYH14', 'NME2', 'HSPA1L', 'THRB', 'DNM3', 'PLCB3', 'TPK1', 'GRM3', 'TNKS2', 'PCNA', 'MAP2K6', 'RGS2', 'GSK3B', 'RNASEL']"
valdecoxib,"['METAP2', 'CA1', 'AIFM1', 'UROD', 'GCDH', 'AKR1B1', 'DIMT1', 'AKR1B10', 'GM2A', 'UXS1', 'PHGDH', 'KDM1A', 'GIF', 'ADAMTS4', 'SRPK2', 'SNAI1', 'WIF1', 'NME2', 'RBP4', 'CA4', 'DAO', 'ACSS1', 'MAPK11', 'THRB', 'CD1D', 'CA9', 'GIF', 'CD40LG', 'CA7', 'PPOX', 'CD1C', 'PKIA', 'LIMK1', 'CD1B', 'CYP7A1', 'PCNA', 'GLO1', 'INCENP', 'LDHA', 'ADAM8', 'CCNC', 'CA12']"
trimetrexate,"['HSD17B1', 'DCXR', 'ADH1C', 'NR1H2', 'CBR1', 'DHRS11', 'HSD11B1', 'SPR', 'HSD17B4', 'GSTP1', 'BDH2', 'PFKFB3', 'UXS1', 'TCN2', 'HTATIP2', 'PDK4', 'HPGD', 'METTL16', 'TP53I3', 'HSD17B10', 'HSD17B8', 'GIF', 'RUVBL1', 'PTGR1', 'NME2', 'THRB', 'CD1D', 'NCOA2', 'HSDL2', 'PANK3', 'DHRS4', 'SIRT6', 'RNLS', 'MMACHC', 'BCL2L1', 'JAK2', 'PCNA', 'FKBP4', 'TSTA3', 'CD1D', 'CCNC', 'RNASEL']"
trimethoprim,"['BPI', 'FABP7', 'DHFR', 'PCTP', 'PROCR', 'NMNAT3', 'ALDH2', 'CD1A', 'PGA4', 'HSD11B1', 'KAT2A', 'HSD17B4', 'UXS1', 'TCN2', 'COL4A3BP', 'ALDH7A1', 'NAA50', 'KAT5', 'GIF', 'STEAP3', 'MUT', 'TLR1', 'ACOT12', 'NME2', 'EP300', 'GSR', 'THRB', 'CD1D', 'EGFR', 'PANK3', 'DHRS4', 'CD1C', 'MMACHC', 'CD1B', 'CYP2D6', 'JAK2', 'PCNA', 'SPHK1', 'CD1D', 'CCNC', 'THEM4', 'ATAT1']"
atenolol,"['HSD17B1', 'NQO1', 'PROCR', 'AIFM1', 'ACAD8', 'AKR1C3', 'DHRS11', 'HSD11B1', 'KAT2A', 'TCN2', 'HTATIP2', 'PDK4', 'CBR3', 'DDX3X', 'NAA50', 'GIF', 'MUT', 'NME2', 'AKR1D1', 'GSR', 'CRYL1', 'CFTR', 'THRB', 'GSTA4', 'DDX53', 'QSOX1', 'DHRS4', 'BRD2', 'TXN', 'RELA', 'DLD', 'BRD3', 'PANK1', 'MMACHC', 'PLA2G2A', 'PCNA', 'F2R', 'BRD2', 'NCOA2', 'TSTA3', 'BRDT', 'MMP9']"
methotrexate,"['ETFA', 'BPI', 'DHFR', 'PCTP', 'PROCR', 'CTBP1', 'NMNAT3', 'CD1A', 'DCXR', 'DHRS11', 'HSD11B1', 'KAT2A', 'SPR', 'UXS1', 'TCN2', 'HTATIP2', 'COL4A3BP', 'TP53I3', 'NAA50', 'KAT5', 'KAT6A', 'GPD1L', 'MTRR', 'ACADS', 'RTN4IP1', 'KDM1A', 'MUT', 'SNAI1', 'NME2', 'EP300', 'GSR', 'THRB', 'CD1D', 'NMT1', 'HSDL2', 'DHRS4', 'MMACHC', 'CD1B', 'PCNA', 'CD1D', 'HIST1H3H', 'THEM4']"
felodipine,"['DHPS', 'BPI', 'QDPR', 'GSTA1', 'CTBP1', 'SORD', 'CYP2C9', 'DECR1', 'PYGM', 'HSD17B4', 'UXS1', 'TCN2', 'ZADH2', 'KDM1A', 'COL4A3BP', 'PHGDH', 'KDM1A', 'ALDH7A1', 'CYP2C8', 'CETP', 'GPD1L', 'RTN4IP1', 'ACOT12', 'NME2', 'CYP2R1', 'FIGNL1', 'CYP2E1', 'THRB', 'CD1D', 'CYP2B6', 'CYP3A4', 'CD1C', 'PARP14', 'CYP19A1', 'CYP17A1', 'CYP2D6', 'PCNA', 'F2R', 'LDHA', 'NCOA2', 'CYP11B2', 'CYP1A1']"
gentamicin,"['DHPS', 'GSK3B', 'AIFM1', 'DCXR', 'PGA4', 'HSD17B4', 'PFKFB3', 'XDH', 'HPGD', 'DIRAS1', 'CBR3', 'STK10', 'GIF', 'ARHGEF25', 'MAVS', 'NMRAL1', 'MYH14', 'NME2', 'GSR', 'MAP2K1', 'THRB', 'UBA5', 'XIAP', 'CD1D', 'EHMT2', 'GIF', 'GRM7', 'AHCYL1', 'RAB1B', 'DHRS4', 'RHEBL1', 'PXN', 'PANK1', 'MGAM', 'RAB11FIP2', 'TGFBR1', 'AIM2', 'PCNA', 'HRAS', 'CD1D', 'MAP2K2', 'MLST8']"
gabapentin,"['HSD17B1', 'FABP5', 'ETFA', 'GALE', 'BPI', 'FABP7', 'FABP3', 'PCTP', 'PROCR', 'ACAD8', 'AKR1C3', 'GMDS', 'CYB5R3', 'TK1', 'LCN2', 'DLD', 'TOP2A', 'BCAT2', 'HTATIP2', 'AKR7A2', 'AKR7A3', 'BCAT1', 'COL4A3BP', 'TK1', 'GIF', 'KDM1A', 'MAOB', 'MUT', 'NME2', 'SETMAR', 'AKR1D1', 'THRB', 'HIST1H3H', 'PNMT', 'PANK3', 'REN', 'PANK1', 'PCNA', 'FKBP5', 'FKBP4', 'TSTA3', 'HIST1H3H']"
rifapentine,"['ACADM', 'RAN', 'AKR1C2', 'CTBP1', 'GMDS', 'HSD11B1', 'RALA', 'UXS1', 'TCN2', 'HTATIP2', 'XDH', 'RAB6B', 'GRHPR', 'RAB6A', 'METTL16', 'CTBP2', 'ZAP70', 'PFN1', 'UGDH', 'RRAGD', 'ACADS', 'RTN4IP1', 'NMRAL1', 'MUT', 'NME2', 'GSR', 'DUT', 'BTK', 'ACSS1', 'THRB', 'CD1D', 'SIRT6', 'PANK3', 'DHRS4', 'SIRT6', 'HIST1H3H', 'PANK1', 'PARP15', 'PCNA', 'HIST1H3H', 'SYK', 'SIRT1']"
hydroflumethiazide,"['HSD17B1', 'AHCY', 'SOS1', 'ALDH2', 'DCXR', 'AKR1C3', 'KIT', 'AKR1B1', 'APAF1', 'SPR', 'AKR1B10', 'TOP2A', 'BDH2', 'UXS1', 'HTATIP2', 'PDK4', 'ADH5', 'METTL16', 'ALDH7A1', 'OLA1', 'RUVBL1', 'SNAI1', 'NME2', 'SYTL2', 'AKR1D1', 'GSR', 'CFTR', 'ACSS1', 'THRB', 'CD1D', 'PNMT', 'EGFR', 'CYP11A1', 'CYP11A1', 'DHRS4', 'PARP14', 'GRIA2', 'MMACHC', 'JAK2', 'PCNA', 'PARP14', 'DECR2']"
minocycline,"['ADH7', 'DHPS', 'ETFA', 'ACADM', 'GALE', 'BPI', 'FABP7', 'LDHB', 'NMNAT1', 'PROCR', 'CD1A', 'DHRS11', 'HSD11B1', 'SPR', 'HSD17B4', 'BDH2', 'TCN2', 'AK4', 'CRYM', 'ACADSB', 'NAA50', 'CETP', 'GIF', 'STEAP3', 'NMRAL1', 'SNAI1', 'PDE10A', 'NME2', 'GSR', 'CFTR', 'ACSS1', 'THRB', 'GIF', 'DHRS4', 'NF1', 'MMACHC', 'MMACHC', 'PCNA', 'PIK3R1', 'BCL2L1', 'CD1D', 'HIST1H3H']"
dopamine,"['NQO1', 'BPI', 'PAH', 'NMNAT1', 'PCTP', 'NMNAT3', 'ALDH2', 'SEC14L2', 'TTPA', 'CYP2C9', 'ACAD8', 'DHRS11', 'UXS1', 'TCN2', 'PDK4', 'XDH', 'PHGDH', 'CYP2C8', 'HSD17B10', 'NAA50', 'GIF', 'RTN4IP1', 'KDM1A', 'MUT', 'PTGR1', 'SNAI1', 'TLR1', 'NME2', 'CYP2R1', 'CYP2E1', 'MAPK11', 'THRB', 'CD1D', 'GIF', 'PNMT', 'CYP46A1', 'TXN', 'CYP17A1', 'CD1B', 'CYP2D6', 'PCNA', 'CD1D']"
milrinone,"['TTR', 'LDHB', 'AKT2', 'ME2', 'ZAP70', 'LCN2', 'RILP', 'HSD17B4', 'GRK6', 'MAP3K5', 'RAB5B', 'APOD', 'CSF1R', 'TEK', 'PDLIM1', 'ERBB4', 'SGK1', 'SRC', 'PDLIM4', 'MUT', 'NFATC3', 'PNP', 'EP300', 'TTK', 'BTK', 'NMT1', 'ERBB3', 'CSF1R', 'CD40LG', 'TYK2', 'BRAF', 'MAPK10', 'FGFR1', 'IGHV3-23', 'CYP7A1', 'PCNA', 'GSK3B', 'TTR', 'EIF2AK3', 'THEM4', 'PTK2', 'TBK1']"
ibuprofen,"['FABP5', 'BPI', 'FABP7', 'FABP3', 'PCTP', 'PROCR', 'NMNAT3', 'DCXR', 'DUT', 'GMDS', 'KAT2A', 'SPR', 'DLD', 'TCN2', 'HTATIP2', 'COL4A3BP', 'NAA50', 'UGDH', 'MTRR', 'RBP2', 'MUT', 'PTGR1', 'SNAI1', 'NME2', 'GSR', 'THRB', 'CD1D', 'GIF', 'HSDL2', 'CYB5B', 'PMP2', 'FABP4', 'TXN', 'RNLS', 'DLD', 'GSTK1', 'PCNA', 'DDR1', 'PMP2', 'TSTA3', 'DECR2', 'THEM4']"
lopinavir,"['AIFM1', 'EPHA2', 'AKT2', 'DCXR', 'PGA4', 'MAP2K2', 'CBR1', 'SPR', 'GRK6', 'MAP3K5', 'MDH2', 'PHGDH', 'GRHPR', 'CBR3', 'HSD17B10', 'SRC', 'MUT', 'STK25', 'MAPK1', 'CHEK2', 'RPS6KB1', 'NME2', 'SMS', 'METTL1', 'TPX2', 'MAP2K1', 'STK26', 'ACSS1', 'EGFR', 'THRB', 'ERBB3', 'HSDL2', 'EGFR', 'TXN', 'JAK2', 'PARP15', 'PCNA', 'GSK3B', 'DECR2', 'PAK4', 'STK32A', 'MAP2K2']"
zonisamide,"['ACADM', 'GALE', 'FABP7', 'LDHB', 'SEC14L2', 'PGA4', 'TTPA', 'AKR1C3', 'GMDS', 'AKR1B10', 'TCN2', 'ZADH2', 'ALDH7A1', 'ACADSB', 'RTN4IP1', 'HMGCS2', 'KDM1A', 'MAOB', 'MAOA', 'TLR1', 'PTGR2', 'VDR', 'NME2', 'EP300', 'AKR1D1', 'NOS2', 'NCOA1', 'THRB', 'CD1D', 'GIF', 'PNMT', 'CD40LG', 'NF1', 'NF1', 'GRIK2', 'PCNA', 'MED1', 'DHODH', 'TMEM173', 'CD1D', 'ERP27', 'SETD2']"
foscarnet,"['ACADM', 'GALE', 'CA1', 'AKR1C2', 'PCK1', 'CTBP1', 'NMNAT3', 'AKR1C3', 'DCPS', 'GMDS', 'CRYZ', 'AKR1B10', 'UXS1', 'TCN2', 'CDK2', 'AKR7A3', 'GALNT2', 'AKR1C4', 'CRYM', 'CTBP2', 'ITPK1', 'PAPSS1', 'MUT', 'PTGR1', 'NME2', 'FOLH1', 'CA4', 'THRB', 'CD1D', 'CA9', 'GIF', 'CA7', 'ACE', 'DHRS4', 'RNLS', 'OGT', 'PCNA', 'DHODH', 'CD1D', 'HIST1H3H', 'OGT', 'CA12']"
ritonavir,"['GALE', 'CTBP1', 'DCXR', 'PGA4', 'CBR1', 'HSD17B4', 'UXS1', 'TCN2', 'CDK2', 'MDH2', 'XDH', 'PHGDH', 'GRHPR', 'CBR3', 'HSD17B10', 'CTBP2', 'GIF', 'SRC', 'NMRAL1', 'MUT', 'STK25', 'SNAI1', 'MAPK1', 'NME2', 'METTL1', 'TPX2', 'STK26', 'ACSS1', 'MAPK11', 'THRB', 'REN', 'ERBB3', 'GIF', 'HSDL2', 'CYP3A4', 'REN', 'TXN', 'RNLS', 'PANK1', 'PARP15', 'PCNA', 'DECR2']"
triamterene,"['HSD17B1', 'GALE', 'PROCR', 'DCXR', 'CBR1', 'DHRS11', 'HSD11B1', 'CRYZ', 'KAT2A', 'SPR', 'HSD17B4', 'AKR1B10', 'UXS1', 'HTATIP2', 'AKR1C4', 'HPGD', 'CBR3', 'CRYM', 'HSD17B10', 'HSD17B8', 'GPD1L', 'RTN4IP1', 'MUT', 'PTGR1', 'PTGR2', 'NME2', 'SYTL2', 'THRB', 'CD1D', 'HSDL2', 'DHRS4', 'GLTP', 'MMACHC', 'ADRB2', 'MMACHC', 'RAB11FIP2', 'GFER', 'PCNA', 'TSTA3', 'CD1D', 'RNASEL', 'THEM4']"
theophylline,"['FKBP1B', 'GALE', 'NMNAT1', 'PCTP', 'BHMT', 'NMNAT3', 'AKT2', 'PGA4', 'AKR1C3', 'GCDH', 'CHIT1', 'HSD17B4', 'KCNAB2', 'UXS1', 'TCN2', 'METTL16', 'APOD', 'CRYM', 'YARS2', 'GIF', 'TLR1', 'NME2', 'EP300', 'AKR1D1', 'ACSM2A', 'CHIA', 'THRB', 'GAPDHS', 'REN', 'GIF', 'CD40LG', 'REN', 'RNLS', 'MGAM', 'PCNA', 'PIK3CA', 'CDKL5', 'FKBP4', 'GSK3B', 'CD1D', 'CCNC', 'CARM1']"
